Task,FPGA Resources,Function,Latency TC1,Latency TC2,Latency TC3,Accuracy TC1,Accuracy TC2,Accuracy TC3
Task 3,28%,cos,24.8,1034.60,36513.30,170105733.646853,6627436274.372950,211937410255.291229
Task 3,28%,cosf,10.5,426,14055.40,170105728,6627435008,211932430336
Task 3,28%,Taylor8,16.4,677.70,23077,170105728,6627435520,211932430336
Task 3,28%,my_cosf,11.1,442.70,14626.7,170105728,6627435008,211932430336
Task 4,29%,cos,8.6,346.8,11391.80,170105733.646853,6627436274.372950,211937410255.291229
Task 4,29%,cosf,5.1,201.5,6475,170105728,6627435008,211932430336
Task 4,29%,Taylor8,11,430.9,13804.9,170105728,6627435520,211932430336
Task 4,29%,my_cosf,5.4,213.6,6850.3,170105728,6627435008,211932430336
Task 6,30%,cos,7.3,287.3,9200.4,170105733.646853,6627436274.372950,211937410255.291229
Task 6,30%,cosf,5,196.2,6287.2,170105728,6627435008,211932430336
Task 6,30%,Taylor8,10.1,389.4,12412.7,170105728,6627435520,211932430336
Task 6,30%,my_cosf,4.6,181.1,5781,170105728,6627435008,211932430336
